Time,Displacement,Force,Tensile strain (Strain 1),Tensile stress
(s),(mm),(kN),(%),(MPa)
0,0,0,-0.0016,-0.0002
0.02,0,0,-0.0001,0.0023
0.04,0.0001,0.0001,0.0015,0.0049
0.06,0.0002,0.0002,0.0018,0.008
0.08,0.0005,0.0003,0.0012,0.0125
0.1,0.0009,0.0004,0.0012,0.0169
0.12,0.0014,0.0007,0.0002,0.0315
0.14,0.002,0.001,-0.0004,0.0473
0.16,0.0027,0.0013,-0.0012,0.0614
0.18,0.0033,0.0016,-0.001,0.077
0.2,0.0039,0.002,-0.0018,0.0961
0.22,0.0045,0.0024,-0.0024,0.1139
0.24,0.0051,0.0029,-0.0029,0.1378
0.26,0.0058,0.0033,-0.0027,0.1595
0.28,0.0064,0.0038,-0.0005,0.1794
0.3,0.0071,0.0042,0,0.202
0.32,0.0077,0.0047,0.0003,0.2216
0.34,0.0084,0.0052,-0.0004,0.246
0.36,0.009,0.0056,-0.0005,0.2668
0.38,0.0097,0.006,-0.0016,0.2872
0.4,0.0104,0.0065,-0.0023,0.3088
0.42,0.0111,0.0071,-0.0024,0.3362
0.44,0.0118,0.0076,-0.0028,0.3622
0.46,0.0125,0.0082,-0.0033,0.3903
0.48,0.0131,0.0088,-0.0041,0.4207
0.5,0.0138,0.0094,-0.0039,0.4466
0.52,0.0144,0.01,-0.003,0.4743
0.54,0.0151,0.0106,-0.0012,0.5033
0.56,0.0158,0.0112,-0.0007,0.5346
0.58,0.0165,0.0119,-0.0006,0.5655
0.6,0.0171,0.0125,-0.0011,0.5964
0.62,0.0178,0.0131,-0.0022,0.624
0.64,0.0185,0.0138,-0.0025,0.6571
0.66,0.0192,0.0146,-0.0031,0.6929
0.68,0.0199,0.0152,-0.0033,0.7231
0.7,0.0206,0.0159,-0.0038,0.7582
0.72,0.0213,0.0166,-0.004,0.7927
0.74,0.022,0.0174,-0.0044,0.8277
0.76,0.0226,0.0181,-0.0045,0.8623
0.78,0.0233,0.0188,-0.0019,0.8949
0.8,0.024,0.0196,-0.0009,0.9343
0.82,0.0246,0.0205,-0.0009,0.974
0.84,0.0253,0.0213,-0.0013,1.0126
0.86,0.026,0.0221,-0.0015,1.0527
0.88,0.0267,0.0229,-0.0023,1.0911
0.9,0.0274,0.0237,-0.0027,1.1275
0.92,0.028,0.0245,-0.0029,1.165
0.94,0.0287,0.0254,-0.0033,1.2086
0.96,0.0294,0.0262,-0.0035,1.2456
0.98,0.03,0.027,-0.0038,1.2835
1,0.0306,0.0277,-0.0042,1.3214
1.02,0.0313,0.0286,-0.0031,1.363
1.04,0.0319,0.0295,-0.0008,1.4033
1.06,0.0326,0.0303,-0.0002,1.4436
1.08,0.0333,0.0313,-0.0004,1.4886
1.1,0.034,0.0322,-0.0006,1.5341
1.12,0.0346,0.0332,-0.0009,1.5809
1.14,0.0354,0.0342,-0.0014,1.6283
1.16,0.0361,0.0352,-0.0013,1.6779
1.18,0.0368,0.0362,-0.0014,1.7232
1.2,0.0374,0.0371,-0.002,1.7667
1.22,0.0381,0.0381,-0.0024,1.8129
1.24,0.0387,0.039,-0.0024,1.8589
1.26,0.0394,0.04,-0.0028,1.9041
1.28,0.04,0.041,-0.0017,1.9508
1.3,0.0406,0.0419,0.0008,1.995
1.32,0.0413,0.0429,0.0013,2.0449
1.34,0.042,0.044,0.0011,2.0956
1.36,0.0427,0.0451,0.0011,2.1456
1.38,0.0434,0.0461,0.0008,2.1963
1.4,0.044,0.0471,0.0001,2.2414
1.42,0.0447,0.0479,0.0001,2.2825
1.44,0.0454,0.049,0,2.3319
1.46,0.046,0.0501,-0.0003,2.3859
1.48,0.0467,0.0511,-0.0005,2.4316
1.5,0.0473,0.0519,-0.0007,2.472
1.52,0.0479,0.0528,-0.0013,2.5147
1.54,0.0486,0.0537,0.0004,2.5594
1.56,0.0492,0.0547,0.0026,2.6061
1.58,0.0499,0.0558,0.0031,2.6582
1.6,0.0506,0.0568,0.0029,2.7029
1.62,0.0513,0.0577,0.0027,2.7482
1.64,0.052,0.0585,0.0022,2.7844
1.66,0.0527,0.0592,0.0017,2.8194
1.68,0.0533,0.06,0.0016,2.8585
1.7,0.054,0.0608,0.0011,2.8947
1.72,0.0546,0.0615,0.001,2.9298
1.74,0.0553,0.0622,0.0009,2.9633
1.76,0.056,0.063,0.0005,2.9979
1.78,0.0567,0.0637,0.0009,3.0348
1.8,0.0573,0.0644,0.0031,3.0678
1.82,0.058,0.0651,0.0042,3.1005
1.84,0.0587,0.0658,0.0046,3.1325
1.86,0.0594,0.0665,0.0044,3.1686
1.88,0.0601,0.0673,0.0039,3.2071
1.9,0.0608,0.0681,0.0036,3.2429
1.92,0.0615,0.0687,0.0032,3.2718
1.94,0.0621,0.0693,0.0027,3.2987
1.96,0.0628,0.0699,0.0025,3.3288
1.98,0.0634,0.0706,0.0024,3.3601
2,0.0641,0.0711,0.0019,3.385
2.02,0.0647,0.0718,0.0018,3.4169
2.04,0.0654,0.0724,0.0036,3.4498
2.06,0.0661,0.0731,0.0054,3.4828
2.08,0.0668,0.0738,0.0061,3.5155
2.1,0.0674,0.0744,0.0058,3.5436
2.12,0.0681,0.075,0.0052,3.5716
2.14,0.0688,0.0755,0.005,3.5954
2.16,0.0694,0.076,0.0046,3.6171
2.18,0.0701,0.0765,0.0041,3.6435
2.2,0.0707,0.0771,0.0041,3.6709
2.22,0.0713,0.0776,0.0037,3.6973
2.24,0.0719,0.0783,0.0033,3.7278
2.26,0.0726,0.0789,0.0032,3.7559
2.28,0.0732,0.0794,0.0033,3.7825
2.3,0.0739,0.0801,0.0056,3.8155
2.32,0.0745,0.0808,0.007,3.8472
2.34,0.0752,0.0815,0.007,3.8808
2.36,0.076,0.0822,0.0068,3.9128
2.38,0.0767,0.0828,0.0065,3.9408
2.4,0.0774,0.0833,0.006,3.9668
2.42,0.078,0.0839,0.0058,3.993
2.44,0.0787,0.0844,0.0054,4.0201
2.46,0.0794,0.085,0.0051,4.0472
2.48,0.08,0.0855,0.0051,4.0722
2.5,0.0807,0.0861,0.0048,4.0977
2.52,0.0813,0.0866,0.0044,4.1237
2.54,0.082,0.0873,0.006,4.1548
2.56,0.0827,0.0878,0.0079,4.183
2.58,0.0834,0.0884,0.0084,4.209
2.6,0.0841,0.089,0.0082,4.2371
2.62,0.0848,0.0896,0.0076,4.2658
2.64,0.0854,0.0901,0.0074,4.2898
2.66,0.0861,0.0906,0.007,4.3141
2.68,0.0868,0.0912,0.0067,4.3419
2.7,0.0874,0.0918,0.0065,4.3732
2.72,0.088,0.0924,0.0063,4.3993
2.74,0.0887,0.0929,0.006,4.423
2.76,0.0893,0.0934,0.0059,4.4498
2.78,0.09,0.094,0.0067,4.4773
2.8,0.0907,0.0945,0.0088,4.5016
2.82,0.0913,0.0951,0.0096,4.5301
2.84,0.092,0.0959,0.0095,4.5663
2.86,0.0927,0.0967,0.0091,4.6025
2.88,0.0934,0.0972,0.0087,4.6298
2.9,0.094,0.0978,0.0081,4.656
2.92,0.0947,0.0982,0.0078,4.6779
2.94,0.0953,0.0988,0.0076,4.7048
2.96,0.096,0.0993,0.0073,4.7296
2.98,0.0967,0.0999,0.0073,4.7548
3,0.0973,0.1004,0.007,4.7811
3.02,0.098,0.101,0.0078,4.8073
3.04,0.0987,0.1016,0.0099,4.8379
3.06,0.0994,0.1022,0.0107,4.869
3.08,0.1001,0.1028,0.0108,4.8952
3.1,0.1007,0.1034,0.0104,4.9231
3.12,0.1014,0.104,0.01,4.9522
3.14,0.102,0.1046,0.0095,4.9827
3.16,0.1027,0.1053,0.0092,5.0132
3.18,0.1033,0.1059,0.0089,5.0409
3.2,0.104,0.1063,0.0087,5.0635
3.22,0.1046,0.107,0.0084,5.0949
3.24,0.1053,0.1076,0.0082,5.1253
3.26,0.106,0.1082,0.0089,5.1542
3.28,0.1067,0.109,0.011,5.1885
3.3,0.1073,0.1095,0.012,5.215
3.32,0.108,0.1101,0.0119,5.2415
3.34,0.1087,0.1107,0.0115,5.2719
3.36,0.1093,0.1114,0.0113,5.3027
3.38,0.11,0.112,0.011,5.3353
3.4,0.1106,0.1127,0.0107,5.3643
3.42,0.1112,0.1132,0.0104,5.3921
3.44,0.1119,0.1138,0.01,5.4212
3.46,0.1125,0.1146,0.0098,5.4554
3.48,0.1132,0.1152,0.0095,5.4867
3.5,0.1139,0.116,0.0103,5.5218
3.52,0.1146,0.1167,0.0126,5.5585
3.54,0.1153,0.1175,0.0135,5.593
3.56,0.116,0.1181,0.0134,5.6225
3.58,0.1167,0.1188,0.013,5.6558
3.6,0.1174,0.1195,0.0126,5.6893
3.62,0.118,0.1201,0.0123,5.7192
3.64,0.1187,0.1207,0.0119,5.7483
3.66,0.1193,0.1213,0.0118,5.7774
3.68,0.12,0.122,0.0114,5.8104
3.7,0.1206,0.1227,0.011,5.8418
3.72,0.1213,0.1233,0.011,5.8709
3.74,0.122,0.124,0.0116,5.9037
3.76,0.1227,0.1247,0.0138,5.9379
3.78,0.1234,0.1255,0.015,5.9746
3.8,0.1241,0.1261,0.0149,6.0043
3.82,0.1248,0.1267,0.0145,6.0355
3.84,0.1254,0.1274,0.0139,6.0658
3.86,0.1261,0.1281,0.0136,6.0986
3.88,0.1268,0.1288,0.0135,6.1313
3.9,0.1274,0.1294,0.0132,6.1596
3.92,0.128,0.1299,0.013,6.1841
3.94,0.1286,0.1305,0.0127,6.2124
3.96,0.1293,0.1311,0.0126,6.2436
3.98,0.1299,0.1319,0.013,6.2832
4,0.1306,0.1326,0.0153,6.3159
4.02,0.1313,0.1333,0.0165,6.3496
4.04,0.132,0.134,0.0165,6.3818
4.06,0.1326,0.1346,0.016,6.4118
4.08,0.1333,0.1354,0.0155,6.4455
4.1,0.1339,0.136,0.0151,6.4775
4.12,0.1346,0.1366,0.015,6.5066
4.14,0.1352,0.1373,0.0148,6.5386
4.16,0.1359,0.138,0.0145,6.5692
4.18,0.1366,0.1387,0.0142,6.6044
4.2,0.1372,0.1393,0.014,6.6349
4.22,0.1379,0.14,0.0141,6.6652
4.24,0.1386,0.1406,0.0162,6.6976
4.26,0.1393,0.1415,0.0176,6.7364
4.28,0.14,0.1423,0.0177,6.7756
4.3,0.1407,0.1431,0.0173,6.812
4.32,0.1414,0.1437,0.017,6.8437
4.34,0.1421,0.1444,0.0166,6.8771
4.36,0.1427,0.1451,0.0163,6.9079
4.38,0.1434,0.1457,0.0161,6.9399
4.4,0.144,0.1464,0.0157,6.9709
4.42,0.1446,0.1471,0.0155,7.0046
4.44,0.1453,0.1477,0.0155,7.0355
4.46,0.146,0.1485,0.0153,7.0693
4.48,0.1467,0.1492,0.0174,7.1059
4.5,0.1474,0.1499,0.0191,7.1396
4.52,0.148,0.1507,0.0195,7.1748
4.54,0.1487,0.1514,0.019,7.2112
4.56,0.1494,0.1521,0.0185,7.2448
4.58,0.15,0.1528,0.0182,7.2767
4.6,0.1506,0.1535,0.0177,7.3074
4.62,0.1513,0.154,0.0176,7.3354
4.64,0.1519,0.1546,0.0172,7.364
4.66,0.1525,0.1553,0.017,7.3973
4.68,0.1532,0.1561,0.0168,7.4339
4.7,0.1539,0.1568,0.0167,7.4678
4.72,0.1546,0.1575,0.0179,7.5016
4.74,0.1553,0.1583,0.0201,7.5405
4.76,0.156,0.1591,0.0211,7.5763
4.78,0.1567,0.1599,0.021,7.6129
4.8,0.1574,0.1606,0.0204,7.6481
4.82,0.1581,0.1613,0.0199,7.6812
4.84,0.1587,0.162,0.0195,7.7129
4.86,0.1594,0.1627,0.0194,7.7454
4.88,0.16,0.1634,0.0191,7.7796
4.9,0.1607,0.164,0.0189,7.8116
4.92,0.1613,0.1647,0.0186,7.8428
4.94,0.162,0.1654,0.0183,7.8743
4.96,0.1627,0.1661,0.0183,7.9088
4.98,0.1634,0.1669,0.0204,7.9474
5,0.1641,0.1677,0.0221,7.9846
5.02,0.1647,0.1684,0.0225,8.0206
5.04,0.1654,0.1691,0.0221,8.0523
5.06,0.1661,0.1698,0.0218,8.0842
5.08,0.1667,0.1704,0.0213,8.1148
5.1,0.1673,0.1711,0.021,8.1482
5.12,0.1679,0.1717,0.0207,8.1757
5.14,0.1686,0.1723,0.0205,8.2049
5.16,0.1692,0.1731,0.0204,8.241
5.18,0.1699,0.1737,0.0202,8.2721
5.2,0.1705,0.1744,0.0201,8.3063
5.22,0.1712,0.1752,0.0208,8.3429
5.24,0.172,0.176,0.023,8.382
5.26,0.1727,0.1769,0.0241,8.4222
5.28,0.1734,0.1776,0.0241,8.4563
5.3,0.174,0.1782,0.0236,8.4872
5.32,0.1747,0.1789,0.0232,8.519
5.34,0.1753,0.1796,0.0229,8.5501
5.36,0.176,0.1803,0.0226,8.5845
5.38,0.1767,0.181,0.0223,8.6193
5.4,0.1773,0.1818,0.0222,8.656
5.42,0.178,0.1824,0.022,8.6863
5.44,0.1786,0.1831,0.0218,8.7202
5.46,0.1794,0.1839,0.0217,8.7562
5.48,0.1801,0.1846,0.0237,8.791
5.5,0.1808,0.1854,0.0251,8.8287
5.52,0.1814,0.1862,0.0255,8.8667
5.54,0.1821,0.1868,0.0254,8.8953
5.56,0.1828,0.1875,0.0249,8.9279
5.58,0.1834,0.1882,0.0245,8.9624
5.6,0.184,0.1889,0.0241,8.9942
5.62,0.1847,0.1895,0.024,9.0233
5.64,0.1854,0.1902,0.0237,9.0561
5.66,0.186,0.191,0.0235,9.0931
5.68,0.1867,0.1918,0.0233,9.1316
5.7,0.1874,0.1924,0.0232,9.1628
5.72,0.1881,0.1931,0.0242,9.1958
5.74,0.1887,0.1938,0.0263,9.2287
5.76,0.1894,0.1946,0.0272,9.2655
5.78,0.1901,0.1953,0.027,9.2987
5.8,0.1907,0.1959,0.0265,9.329
5.82,0.1913,0.1965,0.026,9.3574
5.84,0.1919,0.1972,0.0258,9.3899
5.86,0.1926,0.1978,0.0255,9.4201
5.88,0.1932,0.1984,0.0252,9.4483
5.9,0.1939,0.1992,0.0251,9.4839
5.92,0.1946,0.1999,0.0248,9.5191
5.94,0.1952,0.2006,0.0247,9.5501
5.96,0.1959,0.2013,0.0247,9.5862
5.98,0.1967,0.2021,0.0269,9.6252
6,0.1974,0.2028,0.0284,9.6562
6.02,0.198,0.2035,0.0286,9.6921
6.04,0.1987,0.2042,0.0283,9.726
6.06,0.1993,0.2049,0.0278,9.7549
6.08,0.2,0.2055,0.0275,9.7879
6.1,0.2006,0.2062,0.0272,9.8171
6.12,0.2013,0.2069,0.027,9.8506
6.14,0.2019,0.2076,0.0267,9.8864
6.16,0.2027,0.2084,0.0265,9.9225
6.18,0.2034,0.2092,0.0264,9.9596
6.2,0.2041,0.2099,0.0261,9.9967
6.22,0.2047,0.2105,0.0271,10.0256
6.24,0.2054,0.2112,0.0292,10.0566
6.26,0.2061,0.2119,0.0302,10.0911
6.28,0.2068,0.2126,0.0301,10.1226
6.3,0.2074,0.2133,0.0299,10.155
6.32,0.208,0.214,0.0294,10.1884
6.34,0.2086,0.2146,0.0288,10.2181
6.36,0.2093,0.2152,0.0286,10.2499
6.38,0.2099,0.2158,0.0286,10.2781
6.4,0.2106,0.2166,0.0284,10.3122
6.42,0.2113,0.2173,0.0282,10.3476
6.44,0.212,0.218,0.0281,10.3824
6.46,0.2127,0.2188,0.0279,10.417
6.48,0.2134,0.2195,0.03,10.4538
6.5,0.214,0.2202,0.0315,10.4841
6.52,0.2147,0.2208,0.0317,10.5141
6.54,0.2154,0.2214,0.0314,10.5432
6.56,0.216,0.2221,0.0309,10.5773
6.58,0.2167,0.2228,0.0306,10.6108
6.6,0.2174,0.2235,0.0303,10.6433
6.62,0.218,0.2242,0.0301,10.6771
6.64,0.2187,0.225,0.0296,10.7129
6.66,0.2194,0.2256,0.0296,10.7435
6.68,0.2201,0.2264,0.0296,10.7806
6.7,0.2208,0.2272,0.0295,10.8183
6.72,0.2215,0.2278,0.0313,10.8492
6.74,0.2221,0.2284,0.033,10.8773
6.76,0.2227,0.229,0.0335,10.9054
6.78,0.2234,0.2296,0.0331,10.9355
6.8,0.224,0.2302,0.0328,10.9643
6.82,0.2246,0.2309,0.0322,10.9945
6.84,0.2253,0.2316,0.0318,11.0276
6.86,0.2259,0.2322,0.0314,11.0589
6.88,0.2266,0.233,0.0314,11.0939
6.9,0.2273,0.2337,0.0314,11.1277
6.92,0.228,0.2343,0.0312,11.1592
6.94,0.2287,0.235,0.031,11.1916
6.96,0.2294,0.2357,0.0323,11.2227
6.98,0.23,0.2363,0.0344,11.2544
7,0.2307,0.237,0.035,11.2862
7.02,0.2313,0.2376,0.0347,11.3165
7.04,0.2319,0.2382,0.0343,11.3438
7.06,0.2326,0.2389,0.034,11.375
7.08,0.2333,0.2396,0.0336,11.4077
7.1,0.2339,0.2403,0.0332,11.4406
7.12,0.2346,0.2409,0.033,11.4731
7.14,0.2353,0.2416,0.0327,11.5069
7.16,0.236,0.2424,0.0326,11.542
7.18,0.2367,0.2431,0.0323,11.5779
7.2,0.2374,0.2439,0.0333,11.6141
7.22,0.2381,0.2445,0.0355,11.6436
7.24,0.2388,0.2452,0.0363,11.6752
7.26,0.2394,0.2458,0.0362,11.7026
7.28,0.24,0.2464,0.0358,11.7332
7.3,0.2407,0.247,0.0354,11.7605
7.32,0.2413,0.2476,0.035,11.7899
7.34,0.242,0.2482,0.0347,11.8213
7.36,0.2427,0.2489,0.0345,11.8532
7.38,0.2434,0.2496,0.0344,11.8852
7.4,0.2441,0.2503,0.0341,11.9189
7.42,0.2448,0.251,0.0339,11.9504
7.44,0.2455,0.2516,0.0343,11.983
7.46,0.2462,0.2524,0.0366,12.0182
7.48,0.2468,0.253,0.0377,12.0495
7.5,0.2475,0.2536,0.0378,12.0766
7.52,0.2481,0.2542,0.0375,12.104
7.54,0.2487,0.2547,0.0371,12.1301
7.56,0.2493,0.2553,0.0366,12.1594
7.58,0.25,0.2559,0.0363,12.1857
7.6,0.2506,0.2564,0.036,12.2092
7.62,0.2513,0.2571,0.0358,12.2412
7.64,0.252,0.2578,0.0357,12.2777
7.66,0.2527,0.2585,0.0354,12.3088
7.68,0.2533,0.2592,0.0351,12.3413
7.7,0.254,0.2597,0.0371,12.3668
7.72,0.2546,0.2603,0.0389,12.3958
7.74,0.2553,0.261,0.0392,12.429
7.76,0.2559,0.2616,0.0389,12.4565
7.78,0.2566,0.2622,0.0384,12.488
7.8,0.2573,0.2629,0.0381,12.5182
7.82,0.2579,0.2635,0.0379,12.5495
7.84,0.2586,0.2642,0.0377,12.5809
7.86,0.2593,0.2649,0.0373,12.612
7.88,0.26,0.2655,0.0371,12.6443
7.9,0.2607,0.2662,0.0368,12.6753
7.92,0.2614,0.2669,0.0366,12.7081
7.94,0.2621,0.2675,0.0373,12.738
7.96,0.2627,0.2682,0.0396,12.7704
7.98,0.2634,0.2688,0.0404,12.8012
8,0.264,0.2694,0.0404,12.8284
8.02,0.2647,0.27,0.04,12.8576
8.04,0.2653,0.2706,0.0398,12.8859
8.06,0.266,0.2713,0.0396,12.9169
8.08,0.2667,0.2719,0.0391,12.9466
8.1,0.2674,0.2725,0.0389,12.9781
8.12,0.2681,0.2732,0.0386,13.0094
8.14,0.2687,0.2738,0.0385,13.0394
8.16,0.2694,0.2744,0.0381,13.0669
8.18,0.27,0.2751,0.0381,13.0979
8.2,0.2707,0.2756,0.0402,13.1261
8.22,0.2713,0.2762,0.0419,13.1517
8.24,0.272,0.2767,0.0422,13.1753
8.26,0.2726,0.2773,0.0419,13.2055
8.28,0.2733,0.2779,0.0413,13.2354
8.3,0.2739,0.2786,0.0411,13.2673
8.32,0.2746,0.2792,0.0407,13.2959
8.34,0.2753,0.2798,0.0405,13.326
8.36,0.276,0.2805,0.0402,13.3574
8.38,0.2767,0.2812,0.0401,13.3895
8.4,0.2774,0.2818,0.0399,13.4192
8.42,0.2781,0.2824,0.0395,13.446
8.44,0.2787,0.2829,0.0401,13.473
8.46,0.2794,0.2837,0.0423,13.5082
8.48,0.28,0.2843,0.0434,13.5393
8.5,0.2807,0.2849,0.0434,13.5659
8.52,0.2813,0.2855,0.0431,13.593
8.54,0.282,0.286,0.0425,13.6185
8.56,0.2826,0.2865,0.0422,13.6451
8.58,0.2833,0.2872,0.042,13.6783
8.6,0.284,0.288,0.0417,13.712
8.62,0.2847,0.2887,0.0414,13.7455
8.64,0.2854,0.2893,0.0412,13.7752
8.66,0.286,0.2898,0.041,13.7988
8.68,0.2867,0.2903,0.0408,13.8219
8.7,0.2874,0.291,0.0423,13.856
8.72,0.288,0.2915,0.0444,13.8819
8.74,0.2886,0.292,0.0449,13.9035
8.76,0.2893,0.2924,0.0448,13.9257
8.78,0.2899,0.293,0.0444,13.952
8.8,0.2906,0.2937,0.044,13.9843
8.82,0.2913,0.2944,0.0436,14.02
8.84,0.292,0.2951,0.0433,14.0504
8.86,0.2927,0.2957,0.0431,14.0791
8.88,0.2933,0.2962,0.0428,14.1066
8.9,0.294,0.2968,0.0426,14.1323
8.92,0.2947,0.2974,0.0424,14.1604
8.94,0.2953,0.298,0.0425,14.1924
8.96,0.296,0.2987,0.0447,14.2225
8.98,0.2967,0.2993,0.0461,14.2508
9,0.2973,0.2999,0.0463,14.28
9.02,0.298,0.3004,0.046,14.306
9.04,0.2987,0.301,0.0457,14.3347
9.06,0.2994,0.3016,0.0451,14.3613
9.08,0.3001,0.3023,0.0449,14.395
9.1,0.3008,0.303,0.0445,14.427
9.12,0.3015,0.3035,0.0444,14.4531
9.14,0.3021,0.304,0.0441,14.4785
9.16,0.3028,0.3046,0.044,14.5043
9.18,0.3034,0.3051,0.0438,14.5285
9.2,0.3041,0.3057,0.0443,14.558
9.22,0.3047,0.3063,0.0465,14.5851
9.24,0.3054,0.3068,0.0476,14.6087
9.26,0.3061,0.3074,0.0476,14.6393
9.28,0.3067,0.3081,0.0472,14.6712
9.3,0.3074,0.3086,0.0467,14.6962
9.32,0.3081,0.3092,0.0464,14.7228
9.34,0.3088,0.3098,0.0463,14.7524
9.36,0.3094,0.3104,0.0462,14.7808
9.38,0.3101,0.311,0.0459,14.8101
9.4,0.3107,0.3115,0.0454,14.8334
9.42,0.3114,0.3119,0.0453,14.8532
9.44,0.312,0.3124,0.0452,14.878
9.46,0.3126,0.313,0.046,14.9035
9.48,0.3132,0.3136,0.0482,14.9311
9.5,0.3139,0.3142,0.0491,14.9602
9.52,0.3146,0.3147,0.0489,14.9839
9.54,0.3152,0.3152,0.0484,15.008
9.56,0.3159,0.3158,0.0482,15.0397
9.58,0.3166,0.3165,0.0476,15.0731
9.6,0.3173,0.3171,0.0475,15.1002
9.62,0.318,0.3177,0.0473,15.1292
9.64,0.3187,0.3183,0.047,15.1565
9.66,0.3193,0.3188,0.0468,15.1825
9.68,0.32,0.3194,0.0467,15.2078
9.7,0.3206,0.3199,0.0468,15.231
9.72,0.3213,0.3204,0.0489,15.2563
9.74,0.3219,0.3209,0.0504,15.2808
9.76,0.3226,0.3215,0.0506,15.3118
9.78,0.3233,0.3222,0.0502,15.3449
9.8,0.324,0.3229,0.0497,15.3758
9.82,0.3247,0.3235,0.0494,15.4053
9.84,0.3254,0.3241,0.049,15.432
9.86,0.3261,0.3247,0.0488,15.4631
9.88,0.3268,0.3254,0.0484,15.4932
9.9,0.3274,0.3259,0.0482,15.5182
9.92,0.3281,0.3264,0.0478,15.543
9.94,0.3287,0.327,0.0479,15.5702
9.96,0.3293,0.3275,0.0492,15.5937
9.98,0.33,0.328,0.0512,15.6177
10,0.3306,0.3285,0.0518,15.6446
10.02,0.3313,0.3291,0.0516,15.6738
10.04,0.332,0.3297,0.0513,15.7018
10.06,0.3327,0.3304,0.051,15.7317
10.08,0.3334,0.331,0.0506,15.7614
10.1,0.334,0.3316,0.0503,15.7899
10.12,0.3347,0.3321,0.05,15.8156
10.14,0.3354,0.3327,0.0498,15.8406
10.16,0.336,0.3332,0.0496,15.8654
10.18,0.3367,0.3337,0.0493,15.8923
10.2,0.3374,0.3343,0.0494,15.9207
10.22,0.338,0.3349,0.0518,15.949
10.24,0.3387,0.3354,0.0531,15.9734
10.26,0.3393,0.336,0.0533,15.999
10.28,0.34,0.3366,0.0529,16.027
10.3,0.3407,0.3372,0.0524,16.0563
10.32,0.3414,0.3378,0.0521,16.0872
10.34,0.3421,0.3385,0.0518,16.117
10.36,0.3428,0.3391,0.0516,16.1499
10.38,0.3434,0.3396,0.0513,16.1722
10.4,0.3441,0.3401,0.051,16.1955
10.42,0.3447,0.3407,0.0504,16.223
10.44,0.3453,0.3413,0.0501,16.2504
10.46,0.346,0.3418,0.052,16.2752
10.48,0.3467,0.3423,0.054,16.3018
10.5,0.3473,0.3429,0.0544,16.3269
10.52,0.348,0.3435,0.0542,16.3549
10.54,0.3487,0.3441,0.0538,16.3854
10.56,0.3493,0.3447,0.0536,16.4133
10.58,0.35,0.3454,0.0531,16.4465
10.6,0.3507,0.3459,0.0527,16.4736
10.62,0.3513,0.3464,0.0523,16.4967
10.64,0.352,0.3469,0.052,16.5214
10.66,0.3526,0.3475,0.0518,16.5489
10.68,0.3533,0.3481,0.0517,16.5748
10.7,0.3539,0.3486,0.0524,16.6003
10.72,0.3546,0.3493,0.0548,16.6333
10.74,0.3553,0.3499,0.0557,16.664
10.76,0.356,0.3506,0.0557,16.6954
10.78,0.3567,0.3513,0.0555,16.7287
10.8,0.3574,0.3521,0.0551,16.7679
10.82,0.3581,0.3529,0.0547,16.8045
10.84,0.3588,0.3536,0.0543,16.8366
10.86,0.3594,0.3541,0.0539,16.8626
10.88,0.3601,0.3548,0.0538,16.893
10.9,0.3607,0.3554,0.0536,16.9234
10.92,0.3613,0.3561,0.0534,16.9551
10.94,0.362,0.3567,0.0533,16.9868
10.96,0.3627,0.3574,0.0554,17.0184
10.98,0.3634,0.3581,0.0568,17.0547
11,0.3641,0.3589,0.0573,17.0895
11.02,0.3648,0.3595,0.057,17.1204
11.04,0.3654,0.3602,0.0566,17.1526
11.06,0.3661,0.3608,0.0562,17.1824
11.08,0.3668,0.3614,0.0559,17.2099
11.1,0.3675,0.3621,0.0557,17.2423
11.12,0.3681,0.3627,0.0555,17.2694
11.14,0.3687,0.3631,0.0551,17.2924
11.16,0.3693,0.3637,0.0549,17.3208
11.18,0.37,0.3643,0.0546,17.3486
11.2,0.3706,0.3649,0.0556,17.3766
11.22,0.3713,0.3655,0.0578,17.4059
11.24,0.372,0.3662,0.0588,17.4358
11.26,0.3726,0.3668,0.0587,17.4665
11.28,0.3733,0.3675,0.0583,17.4996
11.3,0.374,0.3681,0.0579,17.5266
11.32,0.3746,0.3687,0.0575,17.5562
11.34,0.3753,0.3693,0.0573,17.5837
11.36,0.3759,0.3698,0.0571,17.608
11.38,0.3766,0.3703,0.0568,17.6357
11.4,0.3772,0.371,0.0564,17.6653
11.42,0.3779,0.3715,0.0561,17.6928
11.44,0.3786,0.3722,0.0563,17.7223
11.46,0.3792,0.3728,0.0585,17.7517
11.48,0.3799,0.3733,0.06,17.777
11.5,0.3807,0.3739,0.0602,17.8071
11.52,0.3814,0.3747,0.0599,17.8417
11.54,0.3821,0.3754,0.0594,17.8742
11.56,0.3828,0.376,0.0591,17.9071
11.58,0.3834,0.3766,0.0589,17.9323
11.6,0.3841,0.377,0.0587,17.9537
11.62,0.3847,0.3775,0.0584,17.975
11.64,0.3854,0.378,0.0581,18.0013
11.66,0.386,0.3787,0.0578,18.0312
11.68,0.3867,0.3792,0.0576,18.0595
11.7,0.3874,0.3799,0.0593,18.0906
11.72,0.3881,0.3805,0.061,18.1206
11.74,0.3887,0.3811,0.0616,18.1459
11.76,0.3894,0.3816,0.0615,18.1725
11.78,0.3901,0.3822,0.0611,18.1978
11.8,0.3907,0.3827,0.0606,18.2231
11.82,0.3914,0.3833,0.0604,18.251
